Unnamed: 0,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,Section,slideNumber
15645,0.331,0.203,0.545,0.038,0.059000000000000004,0.165,0.151,0.11,0.514,0.146,0.203,0.243,0.252,0.099,0.12,0.302,0.038,0.36,0.316,0.281,1.0,2.0
15646,0.331,0.026000000000000002,0.505,0.038,0.059000000000000004,0.12,0.09699999999999999,0.11,0.514,0.11800000000000001,0.191,0.243,0.252,0.16899999999999998,0.166,0.302,0.038,0.528,0.305,0.281,1.0,2.0
15647,0.331,0.107,0.445,0.038,0.059000000000000004,0.077,0.05,0.11,0.514,0.111,0.184,0.243,0.252,0.225,0.19,0.302,0.038,0.627,0.299,0.281,1.0,2.0
15648,0.331,0.179,0.395,0.038,0.059000000000000004,0.044000000000000004,0.02,0.11,0.514,0.09300000000000001,0.184,0.243,0.252,0.262,0.193,0.302,0.038,0.6679999999999999,0.305,0.281,1.0,2.0
15649,0.331,0.198,0.37,0.038,0.059000000000000004,0.024,0.012,0.11,0.408,0.023,0.184,0.243,0.237,0.295,0.201,0.28300000000000003,0.077,0.6940000000000001,0.345,0.28800000000000003,1.0,2.0
15650,0.266,0.20600000000000002,0.35200000000000004,0.005,0.071,0.003,0.006,0.094,0.292,0.078,0.183,0.24100000000000002,0.23800000000000002,0.318,0.207,0.264,0.10099999999999999,0.701,0.39399999999999996,0.262,1.0,2.0
15651,0.18600000000000003,0.203,0.34700000000000003,0.03,0.086,0.025,0.006999999999999999,0.07400000000000001,0.248,0.114,0.17,0.226,0.249,0.34,0.212,0.248,0.105,0.701,0.445,0.174,1.0,2.0
15652,0.128,0.2,0.348,0.06,0.10800000000000001,0.046,0.013000000000000001,0.051,0.248,0.134,0.158,0.226,0.249,0.36,0.215,0.248,0.105,0.701,0.486,0.174,1.0,2.0
15653,0.128,0.2,0.353,0.06,0.10800000000000001,0.065,0.021,0.051,0.248,0.135,0.142,0.226,0.249,0.379,0.215,0.248,0.105,0.7040000000000001,0.503,0.174,1.0,2.0
15654,0.128,0.204,0.36,0.06,0.10800000000000001,0.081,0.034,0.051,0.248,0.145,0.145,0.226,0.249,0.395,0.21100000000000002,0.248,0.105,0.706,0.491,0.174,1.0,2.0
15655,0.128,0.209,0.36700000000000005,0.06,0.10800000000000001,0.095,0.05,0.051,0.248,0.151,0.16699999999999998,0.226,0.249,0.406,0.201,0.248,0.105,0.7090000000000001,0.46399999999999997,0.174,1.0,2.0
15656,0.128,0.21100000000000002,0.373,0.06,0.10800000000000001,0.106,0.066,0.051,0.248,0.159,0.177,0.226,0.249,0.41200000000000003,0.185,0.248,0.105,0.7090000000000001,0.447,0.174,1.0,2.0
15657,0.128,0.21,0.375,0.06,0.10800000000000001,0.11,0.081,0.051,0.025,0.162,0.175,0.084,0.126,0.41,0.161,0.317,0.129,0.706,0.441,0.847,1.0,2.0
15658,0.24600000000000002,0.205,0.376,0.17,0.29,0.106,0.095,0.079,0.10400000000000001,0.162,0.191,0.21899999999999997,0.11,0.40399999999999997,0.128,0.341,0.046,0.691,0.45299999999999996,0.779,1.0,2.0
15659,0.268,0.19,0.381,0.147,0.292,0.098,0.111,0.065,0.26899999999999996,0.162,0.222,0.315,0.132,0.39299999999999996,0.08,0.376,0.012,0.648,0.483,0.715,1.0,2.0
15660,0.304,0.145,0.39799999999999996,0.136,0.284,0.09,0.13699999999999998,0.047,0.439,0.162,0.249,0.369,0.168,0.371,0.012,0.402,0.037000000000000005,0.5589999999999999,0.528,0.65,1.0,2.0
15661,0.33299999999999996,0.051,0.44,0.125,0.26899999999999996,0.077,0.17800000000000002,0.033,0.514,0.154,0.251,0.397,0.196,0.33399999999999996,0.069,0.41,0.04,0.406,0.5870000000000001,0.563,1.0,2.0
